# time(ns)  Fourier    CSA-BTE   RTA-BTE
  0.207500     0.046588     0.301594     0.371092   
  0.208000     0.046250     0.299942     0.369779   
  0.208500     0.045914     0.298292     0.368468   
  0.209000     0.045580     0.296646     0.367161   
  0.209500     0.045249     0.295002     0.365857   
  0.210000     0.044919     0.293362     0.364555   
  0.210500     0.044592     0.291724     0.363257   
  0.211000     0.044268     0.290089     0.361962   
  0.211500     0.043945     0.288456     0.360669   
  0.212000     0.043625     0.286827     0.359380   
  0.212500     0.043306     0.285201     0.358093   
  0.213000     0.042990     0.283577     0.356810   
  0.213500     0.042676     0.281956     0.355529   
  0.214000     0.042364     0.280339     0.354252   
  0.214500     0.042054     0.278724     0.352977   
  0.215000     0.041746     0.277112     0.351705   
  0.215500     0.041440     0.275503     0.350436   
  0.216000     0.041136     0.273896     0.349171   
  0.216500     0.040835     0.272293     0.347908   
  0.217000     0.040535     0.270693     0.346648   
  0.217500     0.040237     0.269095     0.345391   
  0.218000     0.039941     0.267501     0.344137   
  0.218500     0.039647     0.265909     0.342885   
  0.219000     0.039354     0.264320     0.341637   
  0.219500     0.039064     0.262735     0.340392   
  0.220000     0.038776     0.261152     0.339149   
  0.220500     0.038489     0.259572     0.337910   
  0.221000     0.038204     0.257995     0.336673   
  0.221500     0.037921     0.256420     0.335440   
  0.222000     0.037640     0.254849     0.334209   
  0.222500     0.037361     0.253281     0.332981   
  0.223000     0.037083     0.251716     0.331756   
  0.223500     0.036808     0.250153     0.330534   
  0.224000     0.036534     0.248594     0.329314   
  0.224500     0.036262     0.247037     0.328098   
  0.225000     0.035991     0.245484     0.326884   
  0.225500     0.035723     0.243933     0.325674   
  0.226000     0.035456     0.242385     0.324466   
  0.226500     0.035191     0.240841     0.323261   
  0.227000     0.034927     0.239299     0.322059   
  0.227500     0.034666     0.237760     0.320860   
  0.228000     0.034406     0.236224     0.319664   
  0.228500     0.034148     0.234691     0.318470   
  0.229000     0.033891     0.233161     0.317279   
  0.229500     0.033637     0.231634     0.316092   
  0.230000     0.033384     0.230110     0.314907   
  0.230500     0.033132     0.228589     0.313725   
  0.231000     0.032883     0.227070     0.312545   
  0.231500     0.032635     0.225555     0.311369   
  0.232000     0.032389     0.224043     0.310195   
  0.232500     0.032144     0.222534     0.309024   
  0.233000     0.031901     0.221027     0.307856   
  0.233500     0.031660     0.219524     0.306691   
  0.234000     0.031421     0.218023     0.305529   
  0.234500     0.031183     0.216526     0.304369   
  0.235000     0.030947     0.215031     0.303212   
  0.235500     0.030713     0.213540     0.302058   
  0.236000     0.030480     0.212051     0.300907   
  0.236500     0.030249     0.210566     0.299758   
  0.237000     0.030020     0.209083     0.298613   
  0.237500     0.029792     0.207604     0.297470   
  0.238000     0.029566     0.206127     0.296329   
  0.238500     0.029342     0.204653     0.295192   
  0.239000     0.029119     0.203183     0.294057   
  0.239500     0.028898     0.201715     0.292926   
  0.240000     0.028679     0.200250     0.291796   
  0.240500     0.028461     0.198789     0.290670   
  0.241000     0.028245     0.197330     0.289546   
  0.241500     0.028030     0.195874     0.288426   
  0.242000     0.027817     0.194421     0.287307   
  0.242500     0.027606     0.192972     0.286192   
  0.243000     0.027397     0.191525     0.285079   
  0.243500     0.027189     0.190081     0.283969   
  0.244000     0.026982     0.188640     0.282862   
  0.244500     0.026777     0.187203     0.281758   
  0.245000     0.026574     0.185768     0.280656   
  0.245500     0.026373     0.184336     0.279557   
  0.246000     0.026173     0.182907     0.278460   
  0.246500     0.025975     0.181481     0.277367   
  0.247000     0.025778     0.180059     0.276276   
  0.247500     0.025583     0.178639     0.275187   
  0.248000     0.025389     0.177222     0.274102   
  0.248500     0.025197     0.175808     0.273019   
  0.249000     0.025007     0.174397     0.271938   
  0.249500     0.024818     0.172990     0.270861   
  0.250000     0.024631     0.171585     0.269786   
  0.250500     0.024446     0.170183     0.268714   
  0.251000     0.024261     0.168784     0.267644   
  0.251500     0.024079     0.167389     0.266577   
  0.252000     0.023898     0.165996     0.265513   
  0.252500     0.023719     0.164606     0.264451   
